YYYY-MM-DD;D01;D02;D03;D04;D05;avg_pax_D01;avg_pax_D02;avg_pax_D03;avg_pax_D04;avg_pax_D05;avg_fare_D01;avg_fare_D02;avg_fare_D03;avg_fare_D04;avg_fare_D05;avg_stddev_D01;avg_stddev_D02;avg_stddev_D03;avg_stddev_D04;avg_stddev_D05
2021-12-16;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;1.369764;1.374872;1.381075;1.380890;1.510098;9.849386;9.551498;12.103432;11.925293;15.240382;5.915683;5.800214;9.135955;9.429132;12.978726
2021-12-17;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;1.389923;1.396340;1.500790;1.617460;1.450028;9.655636;9.186031;11.937943;16.100426;10.754347;6.355172;5.859888;9.051132;14.064674;7.900840
2021-12-18;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.472109;1.451068;1.713076;1.638874;1.569231;9.394446;8.970641;14.570802;11.876763;12.911066;6.387633;6.751585;12.172013;8.772175;11.515636
2021-12-19;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;1.464103;1.708821;1.617461;1.443516;1.495180;9.408651;14.370556;12.967681;8.894870;10.418654;6.736422;11.721434;11.745767;6.300684;8.283451
2021-12-20;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Midtown East,Yellow Zone;1.385996;1.389227;1.464286;1.634195;1.470432;9.174565;8.785888;10.526952;13.444790;10.698029;5.912426;5.481699;7.964686;12.184822;8.984943
2021-12-21;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Midtown East,Yellow Zone;1.379201;1.376962;1.454845;1.667784;1.417018;9.169961;8.823569;10.487447;12.931173;10.842166;5.959007;5.475150;7.538068;11.806217;8.922876
2021-12-22;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.391160;1.371134;1.488870;1.646226;1.413844;9.085599;8.794305;10.671032;13.079717;10.666989;6.088815;5.780718;7.879229;11.607821;12.705321
2021-12-23;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;1.420400;1.407645;1.486675;1.420993;1.667585;8.884131;8.521198;10.692164;9.985980;13.834422;5.816370;5.979417;8.032013;8.716396;12.353198
2021-12-24;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.423451;1.437973;1.637376;1.707865;1.451214;8.386901;8.153298;10.929936;14.712000;9.293724;6.119883;5.415941;8.606904;64.620423;7.238503
2021-12-25;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;1.742638;1.596467;1.492024;1.568430;1.756573;15.328777;14.220177;9.592527;8.683459;12.354538;13.904324;13.827703;7.652285;6.865853;10.932761
2021-12-26;Manhattan,Clinton East,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;1.625000;1.778920;1.475181;1.513142;1.672497;14.527395;17.124884;10.273285;9.160215;13.797045;12.996243;14.056227;8.333303;6.738150;11.190772
