YYYY-MM-DD;D01;D02;D03;D04;D05;avg_pax_D01;avg_pax_D02;avg_pax_D03;avg_pax_D04;avg_pax_D05;avg_fare_D01;avg_fare_D02;avg_fare_D03;avg_fare_D04;avg_fare_D05;avg_stddev_D01;avg_stddev_D02;avg_stddev_D03;avg_stddev_D04;avg_stddev_D05
2022-02-08;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.354054;1.314950;1.320089;1.326960;1.295885;9.505430;9.283011;10.166098;9.989274;10.275333;5.899327;5.301071;7.228479;6.351860;7.996093
2022-02-09;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.339629;1.325666;1.308848;1.351742;1.328824;9.489710;9.034905;9.777176;9.990697;9.668567;5.511419;6.294120;7.569614;7.616062;6.282605
2022-02-10;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.294097;1.313762;1.320863;1.348873;1.322383;9.711719;8.950748;10.479699;10.060146;9.992017;5.957073;5.209191;7.941579;7.283725;6.758301
2022-02-11;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.369239;1.353041;1.369705;1.354715;1.394729;9.613114;9.188941;10.594979;10.614189;10.641963;5.857120;5.894206;8.657415;8.521646;7.374218
2022-02-12;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;1.444523;1.428058;1.503987;1.480805;1.461406;9.591323;9.026002;11.520999;12.350781;9.992867;6.635384;6.255472;7.113585;11.686044;6.777167
2022-02-13;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;1.434289;1.433427;1.448718;1.392319;1.406968;9.447232;10.684212;9.945082;10.502990;10.097818;7.004735;9.566768;8.020044;8.139330;8.189287
2022-02-14;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.352209;1.378694;1.335907;1.388614;1.356104;9.352505;8.799942;10.052879;9.886222;10.107625;6.369394;5.752972;7.947665;7.511287;7.591470
2022-02-15;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.345497;1.337398;1.311943;1.291918;1.352381;9.713331;8.947299;9.927416;10.090259;10.728571;5.885234;5.393215;7.438881;8.039044;7.376703
2022-02-16;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.363197;1.353065;1.338502;1.362069;1.311932;9.626449;9.051284;10.109576;10.100669;9.701848;5.901114;5.592778;7.391332;7.723037;6.392069
2022-02-17;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.352262;1.329951;1.300457;1.346463;1.367535;9.654664;9.054400;10.248963;10.013629;10.543170;5.833768;5.785868;8.741211;7.300543;7.451982
2022-02-18;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.383306;1.359427;1.398383;1.391900;1.390955;9.698360;9.034288;10.496657;10.962809;10.789006;6.501987;6.126407;8.761342;10.617499;8.261012
2022-02-19;Manhattan,Clinton East,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,East Chelsea,Yellow Zone;1.504987;1.543320;1.667955;1.448919;1.493854;11.823933;10.591120;13.647778;9.662037;10.484305;10.584501;7.206612;12.204754;6.802233;8.284715
2022-02-20;Manhattan,Clinton East,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,East Chelsea,Yellow Zone;Manhattan,East Village,Yellow Zone;1.496660;1.630565;1.471659;1.488487;1.515942;11.527796;12.545515;10.238279;10.729642;10.697826;10.085360;11.411690;7.692940;8.827835;7.875307
2022-02-21;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.391222;1.385875;1.457977;1.453280;1.388540;10.116549;9.133367;12.278953;9.972644;11.156002;8.111612;7.366716;12.503297;8.724261;9.961639
2022-02-22;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;1.386449;1.327394;1.365848;1.386675;1.490766;10.202760;9.356013;9.966195;10.743534;12.644289;7.608073;6.730922;7.132785;8.823633;11.648350
2022-02-23;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.350297;1.339623;1.369428;1.349534;1.334633;9.795988;9.614950;10.334942;10.482974;10.398830;6.630960;6.290393;7.363193;8.122959;7.549800
2022-02-24;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.357746;1.340041;1.347159;1.355946;1.335645;9.843815;9.578586;10.526322;10.290676;10.067410;6.186488;5.921499;7.478268;7.706487;6.789634
2022-02-25;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.379811;1.342730;1.382757;1.436628;1.394286;9.242623;8.729446;9.893676;10.528614;9.642586;5.959255;6.100089;7.301011;7.842381;7.409359
2022-02-26;Manhattan,Upper East Side North,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.444523;1.482210;1.413676;1.507103;1.457380;9.556735;11.175218;8.925858;11.625060;10.467171;6.774579;7.344504;6.435071;9.738242;7.665069
2022-02-27;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,East Village,Yellow Zone;1.448502;1.475182;1.477197;1.420790;1.459928;10.208579;11.183422;11.319752;9.578426;11.450830;7.892122;9.657995;9.136882;7.758749;8.558011
2022-02-28;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.349791;1.356640;1.316769;1.317379;1.377671;9.733147;9.226689;10.781726;11.037746;10.912750;6.963471;6.467998;8.805788;9.802869;8.465620
