YYYY-MM-DD;DO1;DO2;DO3;DO4;DO5;avg pax DO1;avg pax DO2;avg pax DO3;avg pax DO4;avg pax DO5;avg fare DO1;avg fare DO2;avg fare DO3;avg fare DO4;avg fare DO5;stddev fare DO1;stddev fare DO2;stddev fare DO3;stddev fare DO4;stddev fare DO5
2021-12-01;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.3672174929060257;1.3502706478086257;1.3547400611620795;1.3420312100281402;1.3441662226957911;10.093256551493907;9.881211803736685;12.446085626911316;12.39754412893323;11.6957378795951;6.360523624073522;6.143152837312615;9.233258712310295;9.134429441785304;9.856365098736639
2021-12-02;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;1.3810066786121518;1.3811069354287666;1.4027752748242928;1.388002059732235;1.519205644107656;10.170915458543737;10.162931329005808;12.644350333393405;12.508604531410915;16.396616148419128;6.04909347347663;6.543296193414881;9.200797859167453;9.544516174127077;14.087370785371965
2021-12-03;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.3901558654634947;1.3817100891764293;1.4325553797468353;1.6096866096866096;1.4396617986164488;9.909985233798196;9.470886518622137;12.32389042721519;15.407564102564104;11.25047399436331;6.180608754767783;5.674654836433584;9.424067815687486;13.092508592081067;8.176752771769305
2021-12-04;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;Manhattan,East Village,Yellow Zone;1.4570182724252492;1.4335604770017036;1.5363427697016068;1.485780765253361;1.5122853368560105;9.509136212624584;9.781452299829642;14.034702881917879;10.777898138572906;11.67207397622193;6.636406109055115;6.957751613948796;11.409214935792278;7.36059061746735;7.517093005565304
2021-12-05;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.4621230111612444;1.4599713055954089;1.5049034175334324;1.484714780964387;1.491273432449903;9.962265495131799;9.588005738880918;13.93658543833581;11.044831389851876;11.408500323206207;7.1821807932517014;7.936085581595012;12.80489601459282;8.113470722016823;8.857462103791425
2021-12-06;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Midtown East,Yellow Zone;1.388612983327421;1.3786578228638315;1.4002571244911077;1.5205839416058393;1.3810975609756098;9.70069173465768;9.522278579789308;12.11388472251982;15.614370802919709;12.021097560975608;6.8926350866496;6.395119924701978;9.882979040307008;14.09791475994007;9.986751590579617
2021-12-07;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.347121469362556;1.3582708565959483;1.3726859937128886;1.3106697224344284;1.3697478991596639;10.029063127025776;9.55913223799649;12.10789381767377;11.900713012477718;11.429170168067227;5.998297487425732;5.7957689020479135;8.800522249358401;8.74268884499011;9.884976686504292
2021-12-08;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.3349929982884705;1.3432458082885164;1.3501925096254812;1.3272148800783161;1.332319391634981;10.089530107359575;9.98840714963619;12.842527126356318;12.343467939304944;11.713460076045626;6.338094545766121;6.209211537028211;9.28098399047911;8.997771407061716;9.044275819138159
2021-12-09;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.3743085433312845;1.3538840937114673;1.3971055418284504;1.3594627594627595;1.333248859604663;10.117910264290105;10.184232429099877;13.104818213907517;12.513362637362638;12.159680689305628;6.131305883667093;6.239770738907759;9.6669770618108;9.229460055408559;9.214091870705587
2021-12-10;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;1.381787521079258;1.3859022556390976;1.4413733534873678;1.4151242728714966;1.4084314262250206;10.240212478920743;10.259114661654136;12.943273591017059;12.57258064516129;11.085053380782917;6.546953501181641;6.526769248137212;9.991468109901872;10.336152360286338;7.936920485486365
2021-12-11;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.475678002582867;1.4704805491990847;1.5209068010075566;1.510326797385621;1.5185961236249346;9.96932845458459;9.616933638443935;11.687229219143578;11.097848366013073;14.350157150340493;7.27741752654767;6.701776113687075;7.644850102320056;7.949454588034814;12.36021404788723
